I: Retrieving Release 
I: Retrieving Release.gpg 
Entpacken von patch (2.7.1-4ubuntu2.3) ...
Vormals nicht ausgewähltes Paket update-notifier-common wird gewählt.
Vorbereitung zum Entpacken von .../update-notifier-common_0.154.1ubuntu1_all.deb ...
Entpacken von update-notifier-common (0.154.1ubuntu1) ...
Vormals nicht ausgewähltes Paket libbrlapi0.6:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libbrlapi0.6_5.0-2ubuntu2_i386.deb ...
Entpacken von libbrlapi0.6:i386 (5.0-2ubuntu2) ...
Vormals nicht ausgewähltes Paket libgusb2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgusb2_0.1.6-5_i386.deb ...
Entpacken von libgusb2:i386 (0.1.6-5) ...
Vormals nicht ausgewähltes Paket libcolorhug1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libcolorhug1_1.0.6-1_i386.deb ...
Entpacken von libcolorhug1:i386 (1.0.6-1) ...
Vormals nicht ausgewähltes Paket gir1.2-dee-1.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-dee-1.0_1.2.7+14.04.20140324-0ubuntu1_i386.deb ...
Entpacken von gir1.2-dee-1.0 (1.2.7+14.04.20140324-0ubuntu1) ...
Vormals nicht ausgewähltes Paket gir1.2-freedesktop wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-freedesktop_1.40.0-1ubuntu0.2_i386.deb ...
Entpacken von gir1.2-freedesktop (1.40.0-1ubuntu0.2) ...
Vormals nicht ausgewähltes Paket gir1.2-edataserver-1.2 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-edataserver-1.2_3.10.4-0ubuntu1.5_i386.deb ...
Entpacken von gir1.2-edataserver-1.2 (3.10.4-0ubuntu1.5) ...
Vormals nicht ausgewähltes Paket gir1.2-ebookcontacts-1.2 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-ebookcontacts-1.2_3.10.4-0ubuntu1.5_i386.deb ...
Entpacken von gir1.2-ebookcontacts-1.2 (3.10.4-0ubuntu1.5) ...
Vormals nicht ausgewähltes Paket gir1.2-ebook-1.2 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-ebook-1.2_3.10.4-0ubuntu1.5_i386.deb ...
Entpacken von gir1.2-ebook-1.2 (3.10.4-0ubuntu1.5) ...
Vormals nicht ausgewähltes Paket gir1.2-gdkpixbuf-2.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-gdkpixbuf-2.0_2.30.7-0ubuntu1_i386.deb ...
Entpacken von gir1.2-gdkpixbuf-2.0 (2.30.7-0ubuntu1) ...
Vormals nicht ausgewähltes Paket gir1.2-networkmanager-1.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-networkmanager-1.0_0.9.8.8-0ubuntu7.1_i386.deb ...
Entpacken von gir1.2-networkmanager-1.0 (0.9.8.8-0ubuntu7.1) ...
Vormals nicht ausgewähltes Paket gir1.2-notify-0.7 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-notify-0.7_0.7.6-1ubuntu3_i386.deb ...
Entpacken von gir1.2-notify-0.7 (0.7.6-1ubuntu3) ...
Vormals nicht ausgewähltes Paket gir1.2-signon-1.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-signon-1.0_1.10daily13.06.25-0ubuntu2_i386.deb ...
Entpacken von gir1.2-signon-1.0 (1.10daily13.06.25-0ubuntu2) ...
Vormals nicht ausgewähltes Paket gir1.2-soup-2.4 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-soup-2.4_2.44.2-1ubuntu2_i386.deb ...
Entpacken von gir1.2-soup-2.4 (2.44.2-1ubuntu2) ...
Vormals nicht ausgewähltes Paket gir1.2-accounts-1.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-accounts-1.0_1.15+14.04.20131126.2-0ubuntu3_i386.deb ...
Entpacken von gir1.2-accounts-1.0 (1.15+14.04.20131126.2-0ubuntu3) ...
Vormals nicht ausgewähltes Paket python3-pkg-resources wird gewählt.
Vorbereitung zum Entpacken von .../python3-pkg-resources_3.3-1ubuntu2_all.deb ...
Entpacken von python3-pkg-resources (3.3-1ubuntu2) ...
Vormals nicht ausgewähltes Paket python3-crypto wird gewählt.
Vorbereitung zum Entpacken von .../python3-crypto_2.6.1-4build1_i386.deb ...
Entpacken von python3-crypto (2.6.1-4build1) ...
Vormals nicht ausgewähltes Paket python3-oauthlib wird gewählt.
Vorbereitung zum Entpacken von .../python3-oauthlib_0.6.1-1_all.deb ...
Entpacken von python3-oauthlib (0.6.1-1) ...
Vormals nicht ausgewähltes Paket friends-dispatcher wird gewählt.
Vorbereitung zum Entpacken von .../friends-dispatcher_0.2.0+14.04.20140217.1-0ubuntu1_all.deb ...
Entpacken von friends-dispatcher (0.2.0+14.04.20140217.1-0ubuntu1) ...
Vormals nicht ausgewähltes Paket libfriends0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfriends0_0.1.2+14.04.20131108.1-0ubuntu1_i386.deb ...
Entpacken von libfriends0:i386 (0.1.2+14.04.20131108.1-0ubuntu1) ...
Vormals nicht ausgewähltes Paket libgsettings-qt1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgsettings-qt1_0.1+14.04.20140408-0ubuntu1_i386.deb ...
Entpacken von libgsettings-qt1:i386 (0.1+14.04.20140408-0ubuntu1) ...
Vormals nicht ausgewähltes Paket libiw30:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libiw30_30~pre9-8ubuntu1_i386.deb ...
Entpacken von libiw30:i386 (30~pre9-8ubuntu1) ...
Vormals nicht ausgewähltes Paket liblouis-data wird gewählt.
Vorbereitung zum Entpacken von .../liblouis-data_2.5.3-2ubuntu1_all.deb ...
Entpacken von liblouis-data (2.5.3-2ubuntu1) ...
Vormals nicht ausgewähltes Paket liblouis2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../liblouis2_2.5.3-2ubuntu1_i386.deb ...
Entpacken von liblouis2:i386 (2.5.3-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libpangox-1.0-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libpangox-1.0-0_0.0.2-4ubuntu1_i386.deb ...
Entpacken von libpangox-1.0-0:i386 (0.0.2-4ubuntu1) ...
Vormals nicht ausgewähltes Paket libsbc1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsbc1_1.1-2ubuntu2_i386.deb ...
Entpacken von libsbc1:i386 (1.1-2ubuntu2) ...
Vormals nicht ausgewähltes Paket libspeechd2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libspeechd2_0.8-5ubuntu1_i386.deb ...
Entpacken von libspeechd2:i386 (0.8-5ubuntu1) ...
Vormals nicht ausgewähltes Paket libsystemd-journal0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsystemd-journal0_204-5ubuntu20.12_i386.deb ...
Entpacken von libsystemd-journal0:i386 (204-5ubuntu20.12) ...
Vormals nicht ausgewähltes Paket libwebpmux1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libwebpmux1_0.4.0-4_i386.deb ...
Entpacken von libwebpmux1:i386 (0.4.0-4) ...
Vormals nicht ausgewähltes Paket python-dbus-dev wird gewählt.
Vorbereitung zum Entpacken von .../python-dbus-dev_1.2.0-2build2_all.deb ...
Entpacken von python-dbus-dev (1.2.0-2build2) ...
Vormals nicht ausgewähltes Paket python-dbus wird gewählt.
Vorbereitung zum Entpacken von .../python-dbus_1.2.0-2build2_i386.deb ...
Entpacken von python-dbus (1.2.0-2build2) ...
Vormals nicht ausgewähltes Paket python-dirspec wird gewählt.
Vorbereitung zum Entpacken von .../python-dirspec_13.10-0ubuntu2_all.deb ...
Entpacken von python-dirspec (13.10-0ubuntu2) ...
Vormals nicht ausgewähltes Paket python-httplib2 wird gewählt.
Vorbereitung zum Entpacken von .../python-httplib2_0.8-2build1_all.deb ...
Entpacken von python-httplib2 (0.8-2build1) ...
Vormals nicht ausgewähltes Paket python-oauthlib wird gewählt.
Vorbereitung zum Entpacken von .../python-oauthlib_0.6.1-1_all.deb ...
Entpacken von python-oauthlib (0.6.1-1) ...
Vormals nicht ausgewähltes Paket python-openssl wird gewählt.
Vorbereitung zum Entpacken von .../python-openssl_0.13-2ubuntu6_i386.deb ...
Entpacken von python-openssl (0.13-2ubuntu6) ...
Vormals nicht ausgewähltes Paket python-twisted-bin wird gewählt.
Vorbereitung zum Entpacken von .../python-twisted-bin_13.2.0-1ubuntu1_i386.deb ...
Entpacken von python-twisted-bin (13.2.0-1ubuntu1) ...
Vormals nicht ausgewähltes Paket python-pkg-resources wird gewählt.
Vorbereitung zum Entpacken von .../python-pkg-resources_3.3-1ubuntu2_all.deb ...
Entpacken von python-pkg-resources (3.3-1ubuntu2) ...
Vormals nicht ausgewähltes Paket python-zope.interface wird gewählt.
Vorbereitung zum Entpacken von .../python-zope.interface_4.0.5-1ubuntu4_i386.deb ...
Entpacken von python-zope.interface (4.0.5-1ubuntu4) ...
Vormals nicht ausgewähltes Paket python-twisted-core wird gewählt.
Vorbereitung zum Entpacken von .../python-twisted-core_13.2.0-1ubuntu1_all.deb ...
Entpacken von python-twisted-core (13.2.0-1ubuntu1) ...
Vormals nicht ausgewähltes Paket python-twisted-web wird gewählt.
Vorbereitung zum Entpacken von .../python-twisted-web_13.2.0-1ubuntu1_all.deb ...
Entpacken von python-twisted-web (13.2.0-1ubuntu1) ...
Vormals nicht ausgewähltes Paket python-ubuntu-sso-client wird gewählt.
Vorbereitung zum Entpacken von .../python-ubuntu-sso-client_13.10-0ubuntu6_all.deb ...
Entpacken von python-ubuntu-sso-client (13.10-0ubuntu6) ...
Vormals nicht ausgewähltes Paket ubuntu-sso-client wird gewählt.
Vorbereitung zum Entpacken von .../ubuntu-sso-client_13.10-0ubuntu6_all.deb ...
Entpacken von ubuntu-sso-client (13.10-0ubuntu6) ...
Vormals nicht ausgewähltes Paket memtest86+ wird gewählt.
Vorbereitung zum Entpacken von .../memtest86+_4.20-1.1ubuntu8_i386.deb ...
Entpacken von memtest86+ (4.20-1.1ubuntu8) ...
Vormals nicht ausgewähltes Paket empathy-common wird gewählt.
Vorbereitung zum Entpacken von .../empathy-common_3.8.6-0ubuntu9.2_all.deb ...
Entpacken von empathy-common (3.8.6-0ubuntu9.2) ...
Vormals nicht ausgewähltes Paket libmission-control-plugins0 wird gewählt.
Vorbereitung zum Entpacken von .../libmission-control-plugins0_1%3a5.16.1-1ubuntu3_i386.deb ...
Entpacken von libmission-control-plugins0 (1:5.16.1-1ubuntu3) ...
Vormals nicht ausgewähltes Paket telepathy-mission-control-5 wird gewählt.
Vorbereitung zum Entpacken von .../telepathy-mission-control-5_1%3a5.16.1-1ubuntu3_i386.deb ...
Entpacken von telepathy-mission-control-5 (1:5.16.1-1ubuntu3) ...
Vormals nicht ausgewähltes Paket geoclue wird gewählt.
Vorbereitung zum Entpacken von .../geoclue_0.12.99-3ubuntu1_i386.deb ...
Entpacken von geoclue (0.12.99-3ubuntu1) ...
Vormals nicht ausgewähltes Paket telepathy-logger wird gewählt.
Vorbereitung zum Entpacken von .../telepathy-logger_0.8.0-3_i386.deb ...
Entpacken von telepathy-logger (0.8.0-3) ...
Vormals nicht ausgewähltes Paket gstreamer1.0-pulseaudio:i386 wird gewählt.
Vorbereitung zum Entpacken von .../gstreamer1.0-pulseaudio_1.2.4-1~ubuntu1_i386.deb ...
Entpacken von gstreamer1.0-pulseaudio:i386 (1.2.4-1~ubuntu1) ...
Vormals nicht ausgewähltes Paket empathy wird gewählt.
Vorbereitung zum Entpacken von .../empathy_3.8.6-0ubuntu9.2_i386.deb ...
Entpacken von empathy (3.8.6-0ubuntu9.2) ...
Vormals nicht ausgewähltes Paket libmeanwhile1 wird gewählt.
Vorbereitung zum Entpacken von .../libmeanwhile1_1.0.2-4.1ubuntu1_i386.deb ...
Entpacken von libmeanwhile1 (1.0.2-4.1ubuntu1) ...
Vormals nicht ausgewähltes Paket libpurple0 wird gewählt.
Vorbereitung zum Entpacken von .../libpurple0_1%3a2.10.9-0ubuntu3.2_i386.deb ...
Entpacken von libpurple0 (1:2.10.9-0ubuntu3.2) ...
Vormals nicht ausgewähltes Paket telepathy-haze wird gewählt.
Vorbereitung zum Entpacken von .../telepathy-haze_0.8.0-1_i386.deb ...
Entpacken von telepathy-haze (0.8.0-1) ...
Vormals nicht ausgewähltes Paket libsignon-extension1 wird gewählt.
Vorbereitung zum Entpacken von .../libsignon-extension1_8.56+14.04.20140307-0ubuntu2_i386.deb ...
Entpacken von libsignon-extension1 (8.56+14.04.20140307-0ubuntu2) ...
Vormals nicht ausgewähltes Paket libsignon-plugins-common1 wird gewählt.
Vorbereitung zum Entpacken von .../libsignon-plugins-common1_8.56+14.04.20140307-0ubuntu2_i386.deb ...
Entpacken von libsignon-plugins-common1 (8.56+14.04.20140307-0ubuntu2) ...
Vormals nicht ausgewähltes Paket session-migration wird gewählt.
Vorbereitung zum Entpacken von .../session-migration_0.2.1_i386.deb ...
Entpacken von session-migration (0.2.1) ...
Vormals nicht ausgewähltes Paket signond wird gewählt.
Vorbereitung zum Entpacken von .../signond_8.56+14.04.20140307-0ubuntu2_i386.deb ...
Entpacken von signond (8.56+14.04.20140307-0ubuntu2) ...
Vormals nicht ausgewähltes Paket libaccount-plugin-1.0-0 wird gewählt.
Vorbereitung zum Entpacken von .../libaccount-plugin-1.0-0_0.1.7~+14.04.20140211.2-0ubuntu4_i386.deb ...
Entpacken von libaccount-plugin-1.0-0 (0.1.7~+14.04.20140211.2-0ubuntu4) ...
Vormals nicht ausgewähltes Paket signon-plugin-password wird gewählt.
Vorbereitung zum Entpacken von .../signon-plugin-password_8.56+14.04.20140307-0ubuntu2_i386.deb ...
Entpacken von signon-plugin-password (8.56+14.04.20140307-0ubuntu2) ...
Vormals nicht ausgewähltes Paket mcp-account-manager-uoa wird gewählt.
Vorbereitung zum Entpacken von .../mcp-account-manager-uoa_3.8.6-0ubuntu9.2_i386.deb ...
Entpacken von mcp-account-manager-uoa (3.8.6-0ubuntu9.2) ...
Vormals nicht ausgewähltes Paket unity-asset-pool wird gewählt.
Vorbereitung zum Entpacken von .../unity-asset-pool_0.8.24daily13.06.10-0ubuntu1_all.deb ...
Entpacken von unity-asset-pool (0.8.24daily13.06.10-0ubuntu1) ...
Vormals nicht ausgewähltes Paket account-plugin-aim wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-aim_3.8.6-0ubuntu9.2_i386.deb ...
Entpacken von account-plugin-aim (3.8.6-0ubuntu9.2) ...
Vormals nicht ausgewähltes Paket libsignon-qt5-1 wird gewählt.
Vorbereitung zum Entpacken von .../libsignon-qt5-1_8.56+14.04.20140307-0ubuntu2_i386.deb ...
Entpacken von libsignon-qt5-1 (8.56+14.04.20140307-0ubuntu2) ...
Vormals nicht ausgewähltes Paket signon-ui wird gewählt.
Vorbereitung zum Entpacken von .../signon-ui_0.16+14.04.20140304.is.0.15+14.04.20140313-0ubuntu1_i386.deb ...
Entpacken von signon-ui (0.16+14.04.20140304.is.0.15+14.04.20140313-0ubuntu1) ...
Vormals nicht ausgewähltes Paket signon-plugin-oauth2 wird gewählt.
Vorbereitung zum Entpacken von .../signon-plugin-oauth2_0.19+14.04.20140305-0ubuntu2_i386.deb ...
Entpacken von signon-plugin-oauth2 (0.19+14.04.20140305-0ubuntu2) ...
Vormals nicht ausgewähltes Paket libaccount-plugin-generic-oauth wird gewählt.
Vorbereitung zum Entpacken von .../libaccount-plugin-generic-oauth_0.11+14.04.20140409.1-0ubuntu2_i386.deb ...
Entpacken von libaccount-plugin-generic-oauth (0.11+14.04.20140409.1-0ubuntu2) ...
Vormals nicht ausgewähltes Paket account-plugin-facebook wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-facebook_0.11+14.04.20140409.1-0ubuntu2_all.deb ...
Entpacken von account-plugin-facebook (0.11+14.04.20140409.1-0ubuntu2) ...
Vormals nicht ausgewähltes Paket account-plugin-flickr wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-flickr_0.11+14.04.20140409.1-0ubuntu2_all.deb ...
Entpacken von account-plugin-flickr (0.11+14.04.20140409.1-0ubuntu2) ...
Vormals nicht ausgewähltes Paket libaccount-plugin-google wird gewählt.
Vorbereitung zum Entpacken von .../libaccount-plugin-google_0.11+14.04.20140409.1-0ubuntu2_i386.deb ...
Entpacken von libaccount-plugin-google (0.11+14.04.20140409.1-0ubuntu2) ...
Vormals nicht ausgewähltes Paket account-plugin-google wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-google_0.11+14.04.20140409.1-0ubuntu2_all.deb ...
Entpacken von account-plugin-google (0.11+14.04.20140409.1-0ubuntu2) ...
Vormals nicht ausgewähltes Paket telepathy-gabble wird gewählt.
Vorbereitung zum Entpacken von .../telepathy-gabble_0.18.3-0ubuntu0.1_i386.deb ...
Entpacken von telepathy-gabble (0.18.3-0ubuntu0.1) ...
Vormals nicht ausgewähltes Paket account-plugin-jabber wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-jabber_3.8.6-0ubuntu9.2_i386.deb ...
Entpacken von account-plugin-jabber (3.8.6-0ubuntu9.2) ...
Vormals nicht ausgewähltes Paket telepathy-salut wird gewählt.
Vorbereitung zum Entpacken von .../telepathy-salut_0.8.1-1ubuntu3_i386.deb ...
Entpacken von telepathy-salut (0.8.1-1ubuntu3) ...
Vormals nicht ausgewähltes Paket account-plugin-salut wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-salut_3.8.6-0ubuntu9.2_i386.deb ...
Entpacken von account-plugin-salut (3.8.6-0ubuntu9.2) ...
Vormals nicht ausgewähltes Paket account-plugin-twitter wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-twitter_0.11+14.04.20140409.1-0ubuntu2_all.deb ...
Entpacken von account-plugin-twitter (0.11+14.04.20140409.1-0ubuntu2) ...
Vormals nicht ausgewähltes Paket account-plugin-yahoo wird gewählt.
Vorbereitung zum Entpacken von .../account-plugin-yahoo_3.8.6-0ubuntu9.2_i386.deb ...
Entpacken von account-plugin-yahoo (3.8.6-0ubuntu9.2) ...
Vormals nicht ausgewähltes Paket acpid wird gewählt.
Vorbereitung zum Entpacken von .../acpid_1%3a2.0.21-1ubuntu2_i386.deb ...
Entpacken von acpid (1:2.0.21-1ubuntu2) ...
Vormals nicht ausgewähltes Paket acpi-support wird gewählt.
Vorbereitung zum Entpacken von .../acpi-support_0.142_i386.deb ...
Entpacken von acpi-support (0.142) ...
Vormals nicht ausgewähltes Paket libwhoopsie-preferences0 wird gewählt.
Vorbereitung zum Entpacken von .../libwhoopsie-preferences0_0.12_i386.deb ...
Entpacken von libwhoopsie-preferences0 (0.12) ...
Vormals nicht ausgewähltes Paket libxapian22 wird gewählt.
Vorbereitung zum Entpacken von .../libxapian22_1.2.16-2ubuntu1_i386.deb ...
Entpacken von libxapian22 (1.2.16-2ubuntu1) ...
Vormals nicht ausgewähltes Paket zeitgeist-core wird gewählt.
Vorbereitung zum Entpacken von .../zeitgeist-core_0.9.14-0ubuntu4.1_i386.deb ...
Entpacken von zeitgeist-core (0.9.14-0ubuntu4.1) ...
Vormals nicht ausgewähltes Paket python-gi wird gewählt.
Vorbereitung zum Entpacken von .../python-gi_3.12.0-1ubuntu1_i386.deb ...
Entpacken von python-gi (3.12.0-1ubuntu1) ...
Vormals nicht ausgewähltes Paket python-gobject-2 wird gewählt.
Vorbereitung zum Entpacken von .../python-gobject-2_2.28.6-12build1_i386.deb ...
Entpacken von python-gobject-2 (2.28.6-12build1) ...
Vormals nicht ausgewähltes Paket python-xdg wird gewählt.
Vorbereitung zum Entpacken von .../python-xdg_0.25-4_all.deb ...
Entpacken von python-xdg (0.25-4) ...
Vormals nicht ausgewähltes Paket python-zeitgeist wird gewählt.
Vorbereitung zum Entpacken von .../python-zeitgeist_0.9.14-0ubuntu4.1_all.deb ...
Entpacken von python-zeitgeist (0.9.14-0ubuntu4.1) ...
Vormals nicht ausgewähltes Paket zeitgeist-datahub wird gewählt.
Vorbereitung zum Entpacken von .../zeitgeist-datahub_0.9.14-0ubuntu4.1_i386.deb ...
Entpacken von zeitgeist-datahub (0.9.14-0ubuntu4.1) ...
Vormals nicht ausgewähltes Paket zeitgeist wird gewählt.
Vorbereitung zum Entpacken von .../zeitgeist_0.9.14-0ubuntu4.1_all.deb ...
Entpacken von zeitgeist (0.9.14-0ubuntu4.1) ...
Vormals nicht ausgewähltes Paket libwhoopsie0 wird gewählt.
Vorbereitung zum Entpacken von .../libwhoopsie0_0.2.24.6_i386.deb ...
Entpacken von libwhoopsie0 (0.2.24.6) ...
Trigger für man-db (2.6.7.1-1ubuntu1) werden verarbeitet ...
Trigger für mime-support (3.54ubuntu1) werden verarbeitet ...
Trigger für install-info (5.2.0.dfsg.1-2) werden verarbeitet ...
Trigger für ureadahead (0.100.0-16) werden verarbeitet ...
Trigger für ufw (0.34~rc-0ubuntu2) werden verarbeitet ...
Trigger für libglib2.0-0:i386 (2.40.2-0ubuntu1) werden verarbeitet ...
Trigger für hicolor-icon-theme (0.13-1) werden verarbeitet ...
Trigger für libgdk-pixbuf2.0-0:i386 (2.30.7-0ubuntu1) werden verarbeitet ...
Trigger für fontconfig (2.11.0-0ubuntu4.1) werden verarbeitet ...
Trigger für shared-mime-info (1.2-0ubuntu3) werden verarbeitet ...
Vormals nicht ausgewähltes Paket whoopsie-preferences wird gewählt.
(Lese Datenbank ... 49214 Dateien und Verzeichnisse sind derzeit installiert.)
Vorbereitung zum Entpacken von .../whoopsie-preferences_0.12_i386.deb ...
Entpacken von whoopsie-preferences (0.12) ...
Vormals nicht ausgewähltes Paket activity-log-manager wird gewählt.
Vorbereitung zum Entpacken von .../activity-log-manager_0.9.7-0ubuntu14.1_i386.deb ...
Entpacken von activity-log-manager (0.9.7-0ubuntu14.1) ...
Vormals nicht ausgewähltes Paket activity-log-manager-control-center wird gewählt.
Vorbereitung zum Entpacken von .../activity-log-manager-control-center_0.9.7-0ubuntu14.1_all.deb ...
Entpacken von activity-log-manager-control-center (0.9.7-0ubuntu14.1) ...
Vormals nicht ausgewähltes Paket gconf-service-backend wird gewählt.
Vorbereitung zum Entpacken von .../gconf-service-backend_3.2.6-0ubuntu2_i386.deb ...
Entpacken von gconf-service-backend (3.2.6-0ubuntu2) ...
Vormals nicht ausgewähltes Paket gconf-service wird gewählt.
Vorbereitung zum Entpacken von .../gconf-service_3.2.6-0ubuntu2_i386.deb ...
Entpacken von gconf-service (3.2.6-0ubuntu2) ...
Vormals nicht ausgewähltes Paket gconf2 wird gewählt.
Vorbereitung zum Entpacken von .../gconf2_3.2.6-0ubuntu2_i386.deb ...
Entpacken von gconf2 (3.2.6-0ubuntu2) ...
Vormals nicht ausgewähltes Paket guile-2.0-libs wird gewählt.
Vorbereitung zum Entpacken von .../guile-2.0-libs_2.0.9+1-1ubuntu1_i386.deb ...
Entpacken von guile-2.0-libs (2.0.9+1-1ubuntu1) ...
Vormals nicht ausgewähltes Paket aisleriot wird gewählt.
Vorbereitung zum Entpacken von .../aisleriot_1%3a3.10.2-1_i386.deb ...
Entpacken von aisleriot (1:3.10.2-1) ...
Vormals nicht ausgewähltes Paket anacron wird gewählt.
Vorbereitung zum Entpacken von .../anacron_2.3-20ubuntu1_i386.deb ...
Entpacken von anacron (2.3-20ubuntu1) ...
Vormals nicht ausgewähltes Paket apg wird gewählt.
Vorbereitung zum Entpacken von .../apg_2.2.3.dfsg.1-2ubuntu1_i386.deb ...
Entpacken von apg (2.2.3.dfsg.1-2ubuntu1) ...
Vormals nicht ausgewähltes Paket app-install-data wird gewählt.
Vorbereitung zum Entpacken von .../app-install-data_14.04.1_all.deb ...
Entpacken von app-install-data (14.04.1) ...
Vormals nicht ausgewähltes Paket app-install-data-partner wird gewählt.
Vorbereitung zum Entpacken von .../app-install-data-partner_13.04_all.deb ...
Entpacken von app-install-data-partner (13.04) ...
Vormals nicht ausgewähltes Paket appmenu-qt wird gewählt.
Vorbereitung zum Entpacken von .../appmenu-qt_0.2.7+14.04.20140305-0ubuntu1_i386.deb ...
Entpacken von appmenu-qt (0.2.7+14.04.20140305-0ubuntu1) ...
Vormals nicht ausgewähltes Paket python3-problem-report wird gewählt.
Vorbereitung zum Entpacken von .../python3-problem-report_2.14.1-0ubuntu3.11_all.deb ...
Entpacken von python3-problem-report (2.14.1-0ubuntu3.11) ...
Vormals nicht ausgewähltes Paket python3-apport wird gewählt.
Vorbereitung zum Entpacken von .../python3-apport_2.14.1-0ubuntu3.11_all.deb ...
Entpacken von python3-apport (2.14.1-0ubuntu3.11) ...
Vormals nicht ausgewähltes Paket apport wird gewählt.
Vorbereitung zum Entpacken von .../apport_2.14.1-0ubuntu3.11_all.deb ...
Entpacken von apport (2.14.1-0ubuntu3.11) ...
Vormals nicht ausgewähltes Paket gir1.2-atk-1.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-atk-1.0_2.10.0-2ubuntu2_i386.deb ...
Entpacken von gir1.2-atk-1.0 (2.10.0-2ubuntu2) ...
Vormals nicht ausgewähltes Paket gir1.2-pango-1.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-pango-1.0_1.36.3-1ubuntu1.1_i386.deb ...
Entpacken von gir1.2-pango-1.0 (1.36.3-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket gir1.2-gtk-3.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-gtk-3.0_3.10.8-0ubuntu1.5_i386.deb ...
Entpacken von gir1.2-gtk-3.0 (3.10.8-0ubuntu1.5) ...
Vormals nicht ausgewähltes Paket gir1.2-wnck-3.0 wird gewählt.
Vorbereitung zum Entpacken von .../gir1.2-wnck-3.0_3.4.7-0ubuntu3.1_i386.deb ...
Entpacken von gir1.2-wnck-3.0 (3.4.7-0ubuntu3.1) ...
Vormals nicht ausgewähltes Paket libvte-2.90-common wird gewählt.
Vorbereitung zum Entpacken von .../libvte-2.90-common_1%3a0.34.9-1ubuntu1_all.deb ...
Entpacken von libvte-2.90-common (1:0.34.9-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libvte-2.90-9 wird gewählt.
Vorbereitung zum Entpacken von .../libvte-2.90-9_1%3a0.34.9-1ubuntu1_i386.deb ...
Entpacken von libvte-2.90-9 (1:0.34.9-1ubuntu1) ...
Vormals nicht ausgewähltes Paket gnome-terminal-data wird gewählt.
Vorbereitung zum Entpacken von .../gnome-terminal-data_3.6.2-0ubuntu1_all.deb ...
Entpacken von gnome-terminal-data (3.6.2-0ubuntu1) ...
Vormals nicht ausgewähltes Paket gnome-terminal wird gewählt.
Vorbereitung zum Entpacken von .../gnome-terminal_3.6.2-0ubuntu1_i386.deb ...
Entpacken von gnome-terminal (3.6.2-0ubuntu1) ...
Vormals nicht ausgewähltes Paket apport-gtk wird gewählt.
Vorbereitung zum Entpacken von .../apport-gtk_2.14.1-0ubuntu3.11_all.deb ...
Entpacken von apport-gtk (2.14.1-0ubuntu3.11) ...
Vormals nicht ausgewähltes Paket apport-symptoms wird gewählt.
Vorbereitung zum Entpacken von .../apport-symptoms_0.20_all.deb ...
Entpacken von apport-symptoms (0.20) ...
Vormals nicht ausgewähltes Paket python-xapian wird gewählt.
Vorbereitung zum Entpacken von .../python-xapian_1.2.16-2ubuntu1_i386.deb ...
Entpacken von python-xapian (1.2.16-2ubuntu1) ...
Vormals nicht ausgewähltes Paket apt-xapian-index wird gewählt.
Vorbereitung zum Entpacken von .../apt-xapian-index_0.45ubuntu4_all.deb ...
Entpacken von apt-xapian-index (0.45ubuntu4) ...
Vormals nicht ausgewähltes Paket apturl-common wird gewählt.
Vorbereitung zum Entpacken von .../apturl-common_0.5.2ubuntu4_i386.deb ...
